PersonID,DIV_CDE,DEGR_CDE,DEGREE_DESC,DTE_DEGR_CONFERRED,MAJOR_1,MAJOR_1_DESC
84083930,UG,BS   ,Bachelor of Science,4/30/21,BSDMD,Digital Media & Design (SN)
84119840,UG,BS   ,Bachelor of Science,6/30/21,BSGS,General Studies
46105780,UG,BS   ,Bachelor of Science,8/31/18,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
87902360,UG,BS   ,Bachelor of Science,5/3/22,BSBST,Business Studies
87909010,UG,BS   ,Bachelor of Science,12/17/20,BSDMD,Digital Media & Design (SN)
61245170,UG,BS   ,Bachelor of Science,4/24/20,BSMGT,Management
61246500,UG,BS   ,Bachelor of Science,12/14/18,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
61249160,UG,BS   ,Bachelor of Science,4/30/21,BSMLM,Ministerial Leadership: Christian Ministry (SN)
61259800,UG,BS   ,Bachelor of Science,12/13/19,BSCYF,"CHILDREN, YOUTH, & FAMILY MINISTRIES"
61275760,UG,BA   ,Bachelor of Arts,6/20/21,BAGRD,Graphic Design
55802810,UG,BBA  ,Bachelor of Busi Admin,8/22/23,BBA,Business Administration (SN)
81225760,UG,AA   ,Associate of Arts,12/10/20,AAGN,General Education
50714230,UG,BS   ,Bachelor of Science,8/20/20,BSCRM,Criminal Justice
